trade_date,close,TermStructure,Volume,OI,pct_change,ma5,ma10
2015-05-26,27003.826076615835,0.029738445001791472,707562.0,229892.0,0.029738445001791458,26175.107405788272,26635.50666735914
2015-05-27,27342.078595320832,0.012526096033402923,540988.0,238708.0,0.012526096033402823,26526.514189109577,26605.43977680758
2015-05-28,27623.955694241668,0.010309278350515464,862422.0,225498.0,0.010309278350515427,26861.008346495637,26691.882087143305
2015-05-29,28206.501698678057,0.02108843537414966,704524.0,241846.0,0.021088435374149617,27280.065633557948,26821.545552646894
2015-06-01,27717.914727215277,-0.017321785476349102,782428.0,226568.0,-0.017321785476349216,27578.85535841403,26871.34384012291
2015-06-02,27680.331114025834,-0.0013559322033898306,673710.0,228390.0,-0.0013559322033898091,27714.156365896033,26944.631885842326
2015-06-03,27032.013786507916,-0.023421588594704685,545740.0,231970.0,-0.02342158859470478,27652.14340413345,27089.328796621685
2015-06-04,27229.3277557525,0.0072992700729927005,623328.0,219240.0,0.007299270072992803,27573.217816435616,27217.113081465795
2015-06-05,26966.242463426388,-0.00966183574879227,526958.0,212840.0,-0.009661835748792313,27325.165969385278,27302.61580147178
2015-06-08,26825.303913965974,-0.005226480836236934,426620.0,215778.0,-0.00522648083623678,27146.643806735414,27362.749582574896
2015-06-09,26825.303913965974,0.0,397508.0,216946.0,0.0,26975.63836672344,27344.89736630991
2015-06-10,27107.181012886806,0.010507880910683012,367346.0,222044.0,0.010507880910682887,26990.67181199922,27321.40760806651
2015-06-11,27219.931852455138,0.004159445407279029,386818.0,215978.0,0.004159445407279083,26988.792631339747,27281.005223887856
2015-06-12,26092.423456771805,-0.04142216085605799,442210.0,210638.0,-0.04142216085605799,26814.028830008825,27069.59739969723
2015-06-15,26111.21526336653,0.0007202016564638099,335452.0,206030.0,0.0007202016564638036,26671.211099888937,26908.92745331236
2015-06-16,26336.716942503193,0.008636200071968334,394844.0,202436.0,0.008636200071968192,26573.493705596386,26774.566036160093
2015-06-17,26120.61116666389,-0.008205494113449875,381998.0,203948.0,-0.00820549411344984,26376.179736351805,26683.425774175685
2015-06-18,25716.58732487736,-0.015467625899280576,391238.0,211716.0,-0.015467625899280635,26075.510830836247,26532.151731088175
2015-06-19,25791.75455125625,0.0029229082937522835,332300.0,201704.0,0.002922908293752302,26015.377049733135,26414.702939871164
2015-06-23,26083.027553474443,0.011293260473588343,235716.0,196518.0,0.011293260473588251,26009.73950775472,26340.475303822004
2015-06-24,25998.464423798196,-0.0032420749279538905,205904.0,195126.0,-0.0032420749279538086,25942.08900401372,26257.791354805224
2015-06-25,25124.645417143613,-0.033610408384531984,399442.0,207352.0,-0.033610408384532,25742.89585410966,26059.537795230903
2015-06-26,25143.437223738332,0.0007479431563201197,340990.0,183610.0,0.0007479431563199856,25628.26583388186,25851.888332359224
2015-06-29,25049.478190764723,-0.0037369207772795215,303432.0,172964.0,-0.0037369207772794955,25479.810561783554,25747.59380575852
2015-06-30,24053.512441244446,-0.03975993998499625,443982.0,156248.0,-0.03975993998499627,25073.907539337553,25541.823523546314
2015-07-01,24852.16422152014,0.033203125,348026.0,149690.0,0.033203125,24844.64749888194,25393.368251448006
2015-07-02,25002.49867427792,0.0060491493383742915,262836.0,145576.0,0.0060491493383743045,24820.2181503088,25281.55700220941
2015-07-03,24833.372414925416,-0.006764374295377677,316318.0,141606.0,-0.006764374295377795,24758.205188546217,25193.235511214218
2015-07-06,23931.36569837875,-0.036322360953461974,374902.0,140552.0,-0.03632236095346186,24534.582690069023,25007.196625926466
2015-07-07,23517.94595329486,-0.017275225755791126,362292.0,137096.0,-0.017275225755791213,24427.469392479106,24750.68846590851
2015-07-08,22381.041654314165,-0.04834198961246504,141414.0,125748.0,-0.04834198961246505,23933.244879037913,24388.946188960108
2015-07-09,22991.77536864264,0.0272879932829555,798866.0,105136.0,0.027287993282955725,23531.100217910855,24175.65918411001
2015-07-10,22860.232722479584,-0.005721291377196567,560506.0,112482.0,-0.005721291377196569,23136.47227942169,23947.338733984136
2015-07-13,22705.07277187452,-0.006787330316742082,338626.0,92716.0,-0.006787330316742168,22891.21369412084,23712.898192095116
2015-07-14,22541.292824013617,-0.00721336370539104,397130.0,105838.0,-0.0072133637053910515,22695.88306826459,23561.676230372035
2015-07-15,22799.892741688727,0.011472275334608031,337866.0,106124.0,0.01147227533460815,22779.653285739503,23356.449082388895
2015-07-16,22989.532681317138,0.00831758034026465,633952.0,120876.0,0.008317580340264641,22779.204748274402,23155.152483092817
2015-07-17,22791.27274443289,-0.00862392200974878,401138.0,121236.0,-0.008623922009748708,22765.412752665063,22950.94251604356
2015-07-20,22886.092714247097,0.00416036308623298,427204.0,131306.0,0.004160363086233021,22801.616741139576,22846.415217630398
2015-07-21,23239.51260173641,0.01544256120527307,427906.0,140806.0,0.015442561205272876,22941.260696684134,22818.57188247455
2015-07-22,22886.092714247097,-0.015207715133531157,507862.0,138454.0,-0.01520771513353103,22958.500691195804,22869.07698846784
2015-07-23,22920.57270327044,0.0015065913370998117,470614.0,141694.0,0.0015065913370997386,22944.708695586465,22861.956721930623
2015-07-24,21929.273018849195,-0.043249341857841295,529372.0,166474.0,-0.04324934185784124,22772.308750469725,22768.860751567583
2015-07-27,21472.413164289836,-0.020833333333333332,505074.0,155742.0,-0.02083333333333337,22489.57284047827,22645.594790809115
2015-07-28,21825.83305177915,0.01645925331192292,494458.0,150174.0,0.016459253311922994,22206.83693048682,22574.04881358567
2015-07-29,21886.17303257001,0.002764612954186414,515736.0,152906.0,0.002764612954186285,22006.852994151406,22482.676842673798
2015-07-30,21886.17303257001,0.0,443962.0,150864.0,0.0,21799.97306001132,22372.340877799088
2015-07-31,21756.873073732455,-0.005907837731390311,443724.0,153972.0,-0.005907837731390253,21765.493070987974,22268.900910729044
2015-08-03,21403.45318624314,-0.01624405705229794,579240.0,159674.0,-0.016244057052297922,21751.70107537863,22120.636957928647
2015-08-04,21187.953254847216,-0.010068465565847765,730610.0,160490.0,-0.010068465565847728,21624.125115992247,21915.48102323973
2015-08-05,21127.61327405636,-0.0028478437754271765,567666.0,170856.0,-0.002847843775427128,21472.413164289515,21739.633079220654
2015-08-06,20825.913370102066,-0.014279885760913913,462892.0,172630.0,-0.01427988576091388,21260.361231795927,21530.167145903815
2015-08-07,20877.633353637088,0.0024834437086092716,679162.0,172076.0,0.002483443708609201,21084.513287776856,21425.003179382606
2015-08-10,21118.99327680052,0.011560693641618497,486058.0,174914.0,0.01156069364161838,21027.621305888333,21389.661190633673
2015-08-11,20989.693317962967,-0.006122448979591836,635956.0,182942.0,-0.006122448979591799,20987.96931851148,21306.047217252053
2015-08-12,21222.433243870564,0.01108829568788501,666186.0,186554.0,0.011088295687885052,21006.93331247432,21239.673238382107
2015-08-13,21532.753145080696,0.01462225832656377,651886.0,186516.0,0.01462225832656383,21148.30126747005,21204.331249633175
2015-08-14,21170.713260335542,-0.016813450760608487,463032.0,186360.0,-0.016813450760608584,21206.91724880974,21145.715268293487
2015-08-17,20946.593331683784,-0.010586319218241042,467882.0,192660.0,-0.010586319218240936,21172.43725978639,21100.02928283755
2015-08-18,20731.09340028786,-0.0102880658436214,464080.0,190492.0,-0.010288065843621408,21120.71727625137,21054.343297381616
2015-08-19,20817.293372846227,0.004158004158004158,535206.0,195270.0,0.004158004158004047,21039.6893020465,21023.311307260603
2015-08-20,20481.11347986859,-0.016149068322981366,440898.0,199364.0,-0.01614906832298124,20829.361369004077,20988.83131823726
2015-08-21,20748.333394799534,0.013047138047138047,588530.0,187536.0,0.013047138047137974,20744.885395896876,20975.9013223535
2015-08-24,19515.673787214848,-0.059410054009140005,726232.0,180504.0,-0.05941005400914012,20458.701487003087,20815.569373394934
2015-08-25,19472.573800935665,-0.002208480565371025,734002.0,166330.0,-0.0022084805653709294,20206.997567132647,20663.857421692206
2015-08-26,19257.07386953974,-0.011066843736166445,556428.0,178996.0,-0.011066843736166398,19894.953666471352,20467.321484259122
2015-08-27,19722.553721354936,0.024171888988361683,530224.0,166206.0,0.024171888988361756,19743.241714768625,20286.301541886547
2015-08-28,19938.05365275086,0.010926573426573426,624202.0,176150.0,0.010926573426573327,19581.18576635889,20163.03558112808
2015-08-31,19705.313726843262,-0.011673151750972763,477574.0,176486.0,-0.011673151750972721,19619.11375428457,20038.90762064403
2015-09-01,19739.79371586661,0.0017497812773403325,450310.0,172184.0,0.0017497812773403787,19672.55773727076,19939.777652201905
2015-09-02,19343.27384209811,-0.020087336244541485,423956.0,169340.0,-0.0200873362445414,19689.797731782433,19792.37569912709
2015-09-07,19670.833737819914,0.01693404634581105,477486.0,177800.0,0.01693404634581097,19679.45373507543,19711.347724922223
2015-09-08,19998.393633541717,0.016652059596844872,533190.0,192866.0,0.016652059596844904,19691.521731233603,19636.353748796442
2015-09-09,20041.493619820903,0.0021551724137931034,975906.0,209566.0,0.0021551724137931494,19758.75770982913,19688.935732057045
2015-09-10,20282.853542984336,0.012043010752688172,758784.0,214962.0,0.0120430107526881,19867.369675252674,19769.96370626191
2015-09-11,20446.63349084524,0.008074798130046749,1273490.0,220272.0,0.008074798130046856,20088.0416050021,19888.91966839246
2015-09-14,20119.073595123435,-0.016020236087689713,916200.0,211200.0,-0.016020236087689876,20177.689576462806,19928.571655769312
2015-09-15,19825.99368842498,-0.01456726649528706,891642.0,209404.0,-0.014567266495286946,20143.209587439458,19917.365659336727
2015-09-16,20222.51356219348,0.02,1049620.0,215316.0,0.020000000000000018,20179.41357591397,19969.08564287175
2015-09-17,20075.97360884425,-0.007246376811594203,1214810.0,209062.0,-0.007246376811594124,20138.037589085954,20002.703632169512
2015-09-18,19920.813658239185,-0.007728638900815801,1033560.0,215968.0,-0.007728638900815876,20032.873622564744,20060.45761378362
2015-09-21,20067.353611588413,0.0073561228905235825,771488.0,207730.0,0.007356122890523453,20022.52962585774,20100.10960116047
2015-09-22,19817.37369116914,-0.01245704467353952,699518.0,209858.0,-0.012457044673539475,20020.805626406574,20082.007606923213
2015-09-23,19808.753693913306,-0.00043497172683775554,832632.0,207252.0,-0.00043497172683770735,19938.05365275054,20058.733614332457
2015-09-24,19825.99368842498,0.0008703220191470844,622546.0,206888.0,0.0008703220191470518,19888.057668666686,20013.04762887652
2015-09-25,20110.4535978676,0.014347826086956521,817622.0,205590.0,0.014347826086956506,19925.98565659237,19979.429639578757
2015-09-28,19963.913644518372,-0.007286755250750107,394600.0,204932.0,-0.0072867552507500655,19905.29766317836,19963.913644518252
2015-09-29,19403.61382288897,-0.028065630397236616,726526.0,194502.0,-0.02806563039723675,19822.545689522325,19921.67565796465
2015-09-30,19446.713809168155,0.002221235006663705,404616.0,181602.0,0.002221235006663713,19750.137712573294,19844.095682662115
2015-10-08,19636.353748796566,0.00975177304964539,384136.0,192020.0,0.009751773049645251,19712.20972464761,19800.133696657347
2015-10-09,20438.013493589402,0.040825285338015806,911780.0,219454.0,0.04082528533801577,19777.721703791973,19851.85368019237
2015-10-12,20343.193523775197,-0.004639392661324336,948782.0,233172.0,-0.004639392661324293,19853.577679643342,19879.437671411048
2015-10-13,20377.673512798545,0.001694915254237288,670126.0,235836.0,0.0016949152542373724,20048.389617625257,19935.467653573985
2015-10-14,20188.03357317013,-0.009306260575296108,797510.0,230452.0,-0.009306260575296155,20196.653570425653,19973.39564149967
2015-10-15,20213.893564937644,0.0012809564474807857,1079730.0,245058.0,0.001280956447480941,20312.16153365387,20012.185629150932
