trade_date,instrument_type,open,high,low,close,volume,oi,amount
2016-10-17,RU,24001.371601339855,24217.97544085212,23718.120426593046,23826.422346349176,596490.0,310860.0,8571482.64
2016-10-18,RU,23826.422346349176,23951.386099913947,23534.84025469805,23893.069681583722,552662.0,303908.0,7877125.47
2016-10-19,RU,23876.407847775085,23926.393349200993,22668.42489664899,22926.683320682845,785038.0,273668.0,10966444.2
2016-10-20,RU,22935.014237587162,23159.948994003746,22860.035985448303,22984.99973901307,514844.0,271978.0,7106389.37
2016-10-21,RU,22976.668822108753,23034.98524043898,22410.166472615136,22760.064982596487,549628.0,258288.0,7484171.89
2016-10-24,RU,22826.712317831032,23359.890999707375,22768.395899500807,23168.279910908062,535214.0,261294.0,7414833.59
2016-10-25,RU,23201.603578525337,23843.084180157814,23168.279910908062,23301.57458137715,642340.0,259938.0,9073225.26
2016-10-26,RU,23351.56008280306,23443.200168750554,22626.770312127403,23359.890999707375,717604.0,257720.0,9925497.14
2016-10-27,RU,23293.243664472833,23751.444094210317,22993.330655917387,23584.82575612396,852286.0,262008.0,11990708.9
2016-10-28,RU,23643.142174454184,24034.695268957126,23409.876501133283,23584.82575612396,754884.0,248932.0,10714460.0
2016-10-31,RU,23618.14942374123,23901.40059848804,23251.58907995124,23701.45859278441,668728.0,249238.0,9477137.19
2016-11-01,RU,23676.465842071455,23959.717016818264,23351.56008280306,23493.185670176463,568710.0,249062.0,8071289.81
2016-11-02,RU,23526.509337793734,23709.789509688726,22851.705068543983,22968.337905204433,605094.0,247090.0,8450998.02
2016-11-03,RU,22993.330655917387,23201.603578525337,22743.403148787853,23101.63257567352,401104.0,245046.0,5533537.0
2016-11-04,RU,23143.287160195112,23618.14942374123,22776.726816405124,22926.683320682845,596990.0,233186.0,8323613.59
2016-11-07,RU,22976.668822108753,24609.52853535506,22893.359653065574,24167.98993942621,797342.0,235510.0,11370138.28
2016-11-08,RU,24126.335354904622,25184.361801752995,23959.717016818264,25184.361801752995,843170.0,247566.0,12483416.49
2016-11-09,RU,25217.685469370266,26159.07907955819,25134.376300327087,25475.94389340412,709964.0,237780.0,10882644.91
2016-11-10,RU,25709.20956672502,26692.257761434532,24784.477790345736,26525.639423348177,813140.0,242334.0,12632305.66
2016-11-11,RU,26825.55243190362,27433.709365918825,26009.122575280468,27308.745612354058,544784.0,229624.0,8736838.11
2016-11-14,RU,27100.47268974611,28233.477388733343,25109.383549614133,25550.922145542983,689904.0,185918.0,10881903.21
2016-11-15,RU,25825.84240338547,26633.941343104307,25267.670970796175,26025.7844090891,580922.0,182500.0,9065655.75
2016-11-16,RU,26184.071830271143,27558.673119483596,26117.424495036597,27558.673119483596,539372.0,207042.0,8707725.61
2016-11-17,RU,27558.673119483596,27766.946042091542,27075.479939033157,27500.35670115337,465778.0,196684.0,7676999.54
2016-11-18,RU,27442.040282823145,27517.018534962004,26475.65392192227,26967.178019277024,394386.0,182506.0,6376119.81
2016-11-21,RU,26958.847102372707,28541.721314193106,26750.574179764757,28541.721314193106,308838.0,194324.0,5129307.83
2016-11-22,RU,28824.972488939915,29891.329852692605,28824.972488939915,29283.1729186774,463926.0,179900.0,8151971.16
2016-11-23,RU,28666.685067757873,29624.740511754433,28516.728563480152,29274.842001773082,330722.0,169226.0,5800122.23
2016-11-24,RU,29191.532832729903,30657.774207889852,29141.547331303995,29616.409594850113,502786.0,164118.0,9071210.42
2016-11-25,RU,29548.20869286387,30186.521103784362,29031.094840978913,29766.366099127838,378250.0,238004.0,6944208.03
2016-11-28,RU,29491.64936531395,31697.463139760723,29362.370902342715,31333.86746265411,626036.0,278848.0,11756076.72
2016-11-29,RU,31123.78996032585,31503.545445303862,29984.5235053918,30283.479951012792,588320.0,279142.0,11247872.45
2016-11-30,RU,30356.199086434113,30477.397645469653,28724.05849142222,28724.05849142222,566424.0,256552.0,10319196.58
2016-12-01,RU,29233.092439371474,29798.685714870644,28675.579067808005,29225.01253543577,660444.0,262498.0,11978560.16
2016-12-02,RU,29338.131190535605,29612.847924349488,28053.426464758915,29111.893880335938,641480.0,258762.0,11451590.17
2016-12-05,RU,29119.97378427164,30259.240239205687,28877.576666200566,30041.08283294172,543740.0,270090.0,9954482.35
2016-12-06,RU,30218.840719527172,30493.557453341058,29750.206291256432,30000.683313263205,407034.0,268740.0,7587499.33
2016-12-07,RU,29968.363697520395,30784.433995026346,29766.366099127838,30752.114379283536,468948.0,279524.0,8786947.66
2016-12-08,RU,30784.433995026346,31511.625349239566,29903.72446603478,30105.72206442734,584688.0,276116.0,11072046.15
2016-12-09,RU,30251.160335269982,31042.990920968823,29410.850325956926,30840.99332257626,636886.0,278412.0,11889129.94
2016-12-12,RU,31164.18948000436,32263.056415259893,30590.516300569485,31261.14832723279,566406.0,265890.0,11021729.94
2016-12-13,RU,31285.388039039895,32505.45353333097,31107.630152454443,32497.373629395264,534588.0,289704.0,10484376.06
2016-12-14,RU,33127.606136380055,33256.884599351295,31964.099969638904,32820.56978682336,589534.0,285876.0,11883586.48
2016-12-15,RU,33095.286520637244,33159.925752122865,31859.06121847477,32343.855454616918,645756.0,271632.0,12951240.41
2016-12-16,RU,32158.01766409576,32804.40997895196,31673.223427953613,31834.821506667664,469050.0,270992.0,9357332.67
2016-12-19,RU,31745.942563374938,32206.497087709977,31511.625349239566,31543.944964982376,416462.0,267496.0,8212089.61
2016-12-20,RU,31350.027270525516,31463.14592562535,30226.920623462876,30849.073226511966,592814.0,262730.0,11320758.52
2016-12-21,RU,31010.671305226013,31430.82630988254,30703.63495566932,31285.388039039895,434458.0,262526.0,8356250.2
