ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
AG1812.SHF,AG1812,SHFE,沪银1812,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
WR1812.SHF,WR1812,SHFE,线材1812,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-12-18,2018-08-31,201812,2018-12-24
NI1812.SHF,NI1812,SHFE,沪镍1812,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
SN1812.SHF,SN1812,SHFE,沪锡1812,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2017-12-18,2018-12-17,201812,2018-12-24
BU1912.SHF,BU1912,SHFE,沥青1912,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2017-12-18,2019-12-16,201912,2019-12-23
AU1803.SHF,AU1803,SHFE,沪金1803,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2017-12-18,2018-03-15,201803,2018-03-22
RU9511.SHF,RU9511,SHFE,橡胶9511,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,1995-06-22,1995-11-15,199511,1995-11-22
CU0504.SHF,CU0504,SHFE,沪铜0504,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2004-04-16,2005-04-15,200504,2005-04-22
AU1902.SHF,AU1902,SHFE,沪金1902,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2018-01-16,2019-02-15,201902,2019-02-22
BU1807.SHF,BU1807,SHFE,沥青1807,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2018-01-16,2018-07-16,201807,2018-07-23
RU1901.SHF,RU1901,SHFE,橡胶1901,RU,,吨,10.0,人民币元/吨,5人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
AG1901.SHF,AG1901,SHFE,沪银1901,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
HC1901.SHF,HC1901,SHFE,热轧卷板1901,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
ZN1901.SHF,ZN1901,SHFE,沪锌1901,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
RB1901.SHF,RB1901,SHFE,螺纹钢1901,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
CU1901.SHF,CU1901,SHFE,沪铜1901,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
PB1901.SHF,PB1901,SHFE,沪铅1901,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
AL1901.SHF,AL1901,SHFE,沪铝1901,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
WR1901.SHF,WR1901,SHFE,线材1901,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-01-16,2018-08-31,201901,2019-01-22
SN1901.SHF,SN1901,SHFE,沪锡1901,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
NI1901.SHF,NI1901,SHFE,沪镍1901,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,2019-01-22
ZN0912.SHF,ZN0912,SHFE,沪锌0912,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2008-12-16,2009-12-15,200912,2009-12-22
AG1902.SHF,AG1902,SHFE,沪银1902,AG,,千克,15.0,人民币元/千克,1人民币元/千克,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
AL1902.SHF,AL1902,SHFE,沪铝1902,AL,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
AU1805.SHF,AU1805,SHFE,沪金1805,AU,,克,1000.0,人民币元/克,0.05人民币元/克,实物交割,2018-02-12,2018-05-15,201805,2018-05-22
BU1808.SHF,BU1808,SHFE,沥青1808,BU,,吨,10.0,人民币元/吨,2人民币元/吨,实物交割,2018-02-12,2018-08-15,201808,2018-08-22
CU1902.SHF,CU1902,SHFE,沪铜1902,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
HC1902.SHF,HC1902,SHFE,热轧卷板1902,HC,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
NI1902.SHF,NI1902,SHFE,沪镍1902,NI,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
PB1902.SHF,PB1902,SHFE,沪铅1902,PB,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
RB1902.SHF,RB1902,SHFE,螺纹钢1902,RB,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
SN1902.SHF,SN1902,SHFE,沪锡1902,SN,,吨,1.0,人民币元/吨,10人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
WR1902.SHF,WR1902,SHFE,线材1902,WR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-02-12,2018-08-31,201902,2019-02-22
ZN1902.SHF,ZN1902,SHFE,沪锌1902,ZN,,吨,5.0,人民币元/吨,5人民币元/吨,实物交割,2018-02-12,2019-02-15,201902,2019-02-22
CU0603.SHF,CU0603,SHFE,沪铜0603,CU,,吨,5.0,人民币元/吨,10人民币元/吨,实物交割,2005-03-16,2006-03-15,200603,2006-03-22
